"id","time","styleNum","style","trueSig","datVer","pval","attemptNum","firstTry","correct","guessSig","sense","spec","qNameCoursera"
1," Thu 21 Mar 2013  7:37 PM ",1,"n35",FALSE,"4",0.332,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-8"
1," Thu 21 Mar 2013  7:37 PM ",2,"n100ref",TRUE,"4",0.024,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-13"
1," Thu 21 Mar 2013  7:37 PM ",3,"n100ref",FALSE,"5",0.33,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-19"
1," Thu 21 Mar 2013  7:37 PM ",4,"n200",TRUE,"4",0.024,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-23"
1," Thu 21 Mar 2013  7:37 PM ",5,"bestFit",TRUE,"3",0.024,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-32"
1," Thu 21 Mar 2013  7:37 PM ",6,"axesScale",TRUE,"3",0.023,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-42"
1," Thu 21 Mar 2013  7:37 PM ",7,"axesLabel",TRUE,"4",0.024,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-53"
1," Thu 21 Mar 2013  7:37 PM ",8,"outlier",FALSE,"4",0.365,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-68"
1," Thu 21 Mar 2013  7:37 PM ",9,"lowess",TRUE,"5",0.025,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-74"
2," Thu 14 Mar 2013 12:39 AM ",1,"n35",FALSE,"4",0.332,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-8"
2," Thu 14 Mar 2013 12:39 AM ",2,"n100ref",TRUE,"2",0.025,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-11"
2," Thu 14 Mar 2013 12:39 AM ",3,"n100ref",FALSE,"2",0.334,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-16"
2," Thu 14 Mar 2013 12:39 AM ",4,"n200",FALSE,"1",0.331,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-25"
2," Thu 14 Mar 2013 12:39 AM ",5,"bestFit",FALSE,"4",0.333,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-38"
2," Thu 14 Mar 2013 12:39 AM ",6,"axesScale",TRUE,"4",0.025,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-43"
2," Thu 14 Mar 2013 12:39 AM ",7,"axesLabel",FALSE,"3",0.344,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-57"
2," Thu 14 Mar 2013 12:39 AM ",8,"outlier",FALSE,"4",0.365,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-68"
2," Thu 14 Mar 2013 12:39 AM ",9,"lowess",FALSE,"3",0.341,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-77"
3," Thu 14 Mar 2013  8:47 PM ",1,"n35",TRUE,"1",0.024,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-0"
3," Thu 14 Mar 2013  8:47 PM ",2,"n100ref",TRUE,"2",0.025,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-11"
3," Thu 14 Mar 2013  8:47 PM ",3,"n100ref",FALSE,"1",0.33,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-15"
3," Thu 14 Mar 2013  8:47 PM ",4,"n200",FALSE,"3",0.342,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-27"
3," Thu 14 Mar 2013  8:47 PM ",5,"bestFit",TRUE,"5",0.024,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-34"
3," Thu 14 Mar 2013  8:47 PM ",6,"axesScale",FALSE,"1",0.345,1,TRUE,FALSE,TRUE,NA,FALSE,"Q-45"
3," Thu 14 Mar 2013  8:47 PM ",7,"axesLabel",FALSE,"1",0.331,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-55"
3," Thu 14 Mar 2013  8:47 PM ",8,"outlier",TRUE,"5",0.003,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-64"
3," Thu 14 Mar 2013  8:47 PM ",9,"lowess",TRUE,"1",0.024,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-70"
4," Thu 14 Mar 2013 12:09 AM ",1,"n35",TRUE,"5",0.023,1,TRUE,TRUE,TRUE,TRUE,NA,"Q-4"
4," Thu 14 Mar 2013 12:09 AM ",2,"n100ref",TRUE,"2",0.025,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-11"
4," Thu 14 Mar 2013 12:09 AM ",3,"n100ref",FALSE,"3",0.34,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-17"
4," Thu 14 Mar 2013 12:09 AM ",4,"n200",FALSE,"5",0.341,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-29"
4," Thu 14 Mar 2013 12:09 AM ",5,"bestFit",FALSE,"5",0.336,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-39"
4," Thu 14 Mar 2013 12:09 AM ",6,"axesScale",FALSE,"2",0.348,1,TRUE,FALSE,TRUE,NA,FALSE,"Q-46"
4," Thu 14 Mar 2013 12:09 AM ",7,"axesLabel",FALSE,"4",0.335,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-58"
4," Thu 14 Mar 2013 12:09 AM ",8,"outlier",FALSE,"3",0.387,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-67"
4," Thu 14 Mar 2013 12:09 AM ",9,"lowess",TRUE,"3",0.024,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-72"
5," Sun 17 Mar 2013  3:26 AM ",1,"n35",FALSE,"1",0.332,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-5"
5," Sun 17 Mar 2013  3:26 AM ",2,"n100ref",TRUE,"3",0.025,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-12"
5," Sun 17 Mar 2013  3:26 AM ",3,"n100ref",FALSE,"5",0.33,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-19"
5," Sun 17 Mar 2013  3:26 AM ",4,"n200",FALSE,"1",0.331,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-25"
5," Sun 17 Mar 2013  3:26 AM ",5,"bestFit",TRUE,"3",0.024,1,TRUE,FALSE,FALSE,FALSE,NA,"Q-32"
5," Sun 17 Mar 2013  3:26 AM ",6,"axesScale",FALSE,"4",0.341,1,TRUE,TRUE,FALSE,NA,TRUE,"Q-48"
